id,answer
1,:411
2,Alaska
3,Christian
4,Marquis Charles de La Valette
5,Catholics
6,I
7,Nicholas
8,Nicholas
9,Nicholas
10,Ottomans
11,UK
12,Russian
13,Omar Pasha
14,Orbeliani
15,Fuller
16,Russian
17,:201
18,Battle
19,Nicholas
20,London
21,Turkish
22,Russia
23,Treaty
24,30
25,Menshikov
26,Crimean War
27,Florence Nightingale
28,The
29,1821
30,Sultan Mahmud II
31,1826
32,Battle
33,1830
34,1830
35,Muhammad Ali
36,Russian
37,Russian
38,1833
39,Muhammad Ali
40,Egyptians
41,24
42,Muhammad Ali
43,1840
44,Europe
45,Treaty
46,1848
47,Nicholas
48,Muhammad Ali
49,200
50,Wild Fields
51,Wild Fields
52,Nicholas
53,Ukraine
54,Russians
55,Auspicious Incident
56,Britain
57,1853
58,Ottomans
59,Marquis Charles de La Valette
60,The
61,Porte
62,Charlemagne
63,Port
64,Treaty
65,Roman Catholic
66,Marquis Charles de La Valette
67,Burgoyne
68,Nicholas
69,Menshikov
70,1853
71,Menshikov
72,Stratford Canning
73,La Valette
74,Rose
75,Stratford
76,Russian
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,Danubian Principalities
80,80-COMMA-000
81,1853
82,Moldavia
83,Tsar
84,Nicholas
85,Vienna Conference
86,Count Karl von Buol
87,5
88,Abdülmecid
89,Austrian Foreign Minister
90,November
91,Anatolia
92,Ottoman
93,Battle
94,1854
95,John Burgoyne
96,Burgoyne
97,Paris
98,Burgoyne
99,Burgoyne
100,1848
101,Nicholas
102,Austria
103,Ottoman
104,Ottoman Empire
105,Nicholas
106,Ottoman
107,Danube
108,Silistra
109,Calafat
110,1854
111,Turkish
112,60-COMMA-000
113,23
114,French
115,Omar Pasha
116,280-COMMA-000
117,1854
118,Turks
119,Turkey
120,Black Sea
121,Omar Pasha
122,1854
123,Danube
124,I
125,Ottoman
126,Viktor Poplonsky
127,French
128,Port
129,Black Sea
130,Russians
131,Russians
132,110-
133,110-
134,1854
135,UK
136,George Hamilton-Gordon
137,1854
138,September
139,500
140,The
141,Russia
142,6000
143,Russian
144,:424
145,3-COMMA-300
146,Eastern Orthodoxy
147,25
148,Russian
149,March
150,Raglan
151,4
152,4
153,Russians
154,Russians
155,French
156,Russians
157,Highlanders
158,Sir
159,93rd
160,Sir
161,Russian
162,Raglan
163,Raglan
164,Raglan
165,Valley
166,Balaclava
167,The Charge
168,Alfred Lord Tennyson
169,Alfred Lord Tennyson
170,Ottomans
171,November
172,14
173,January
174,:439
175,British
176,Mamelon
177,Russians
178,Russian
179,Omar Pasha
180,Raglan
181,Western Allied Baltic Fleet
182,Balaclava
183,Tchernaya
184,French
185,Russians
186,French
187,Muravyev
188,British
189,Russian
190,Anglo-French
191,Kerch Strait
192,May
193,Taganrog
194,HMS Jasper
195,1855
196,August
197,2nd
198,August
199,Nicholas
200,20000
201,Redut Kale
202,30000
203,13
204,Batum
205,Alger
206,Kars
207,August Russian
208,Nicholas
209,Russian
210,May
211,Muravyev
212,Muravyev
213,Muravyev
214,Omar Pasha
215,8000
216,8000
217,Russians
218,Georgian
219,Russian
220,Russian
221,Russian
222,1854
223,French
224,1855
225,Åland Islands
226,Viktor Poplonsky
227,Captain
228,Russian
229,Cronstadt
230,Russian
231,Cronstadt
232,Swede
233,David Price
234,Russians
235,Kamchatka Peninsula
236,Victor Emmanuel II
237,15-COMMA-000
238,Victor Emmanuel II
239,16
240,Piedmont-Sardinia
241,Russia
242,Russians
243,February
244,1854
245,Epirus Revolt
246,Trafalgar Square
247,Ottomans
248,January
249,Aberdeen
250,Foreign Secretary Lord
251,Paris
252,30
253,Black Sea
254,Moldavia
255,Kronstadt
256,30
257,Franco-Prussian War
258,1870–1871
259,German
260,Otto von Bismarck
261,Crimean War
262,Paris Treaty
263,Austrian
264,Crimean War
265,Continent
266,Crimean War
267,A. W
268,British
269,Winfried Baumgart
270,Russian
271,British Columbia
272,Alexander II
273,Alexander II
274,Russia
275,William Howard Russell (
276,The Times
277,William Howard Russell (
278,Black Sea
279,French
280,UK
281,1857
282,Light Brigade
283,Crimean War
284,William Howard Russell
285,British
286,British
287,European
288,Southern Europe
289,Macedonia
290,11th
291,227
292,Pindus
293,Italy
294,Philip
295,BC
296,20-COMMA-000
297,3200
298,OECD
299,Greek
300,2001
301,Greece
302,Graecia
303,Graecia
304,Empire
305,Latin
